maar,dummy,FDI,
0.596183967,1,5439,
0.695988845,1,5439,
1.171008179,1,5439,
0.896820394,1,4279,
1.373626174,1,4279,
1.270511137,1,4485,
0.868303395,1,4485,
0.574034017,1,4485,
0.573626112,1,4485,
0.328170243,1,4485,
1.053196077,1,4485,
0.659488172,1,5397,
0.846413422,1,5397,
0.258326381,1,5397,
0.609807508,1,5987,
1.52350981,1,5987,
0.835468063,1,5987,
0.941689726,1,5987,
0.696939517,1,5987,
0.921909407,1,5987,
1.46592587,1,5987,
0.04295732,1,5987,
0.232185886,1,5687,
0.790968672,1,5687,
0.570584377,1,5687,
0.566935457,1,5687,
0.099911895,1,5687,
0.23245916,1,5687,
0.879950722,1,5687,
0.354894372,1,5687,
0.18003929,1,5687,
1.289883396,1,5687,
0.740187826,1,5687,
1.027600417,1,15205,
0.807625316,1,15205,
0.607724495,1,15205,
1.587576412,1,15205,
0.668238902,1,15205,
0.893660525,1,15205,
0.402562394,1,15205,
0.814887871,1,15205,
0.728764845,1,15205,
0.544424604,1,15205,7685.55814
0.772096765,0,5359,7412.780488
0.461287904,0,7499,
0.468815827,0,7499,
0.950801567,0,7499,
0.470244398,0,7499,
0.381122229,0,7499,
0.4375303,0,7499,
1.022993799,0,7499,
0.273525098,0,7899,
0.59338023,0,7899,
0.44882291,0,7899,
0.293101437,0,7899,
0.690264621,0,7899,
0.503198759,0,7899,
0.204348441,0,7899,
0.686040295,0,7899,
0.461259394,0,7899,
0.349156602,0,7105,
0.779581717,0,7105,
0.948376804,0,7105,
0.703101984,0,7105,
1.282467501,0,7105,
0.882801313,0,7105,
1.130899095,0,7105,
1.384125596,0,7105,
0.748766272,0,7105,
0.835426685,0,7105,
0.769610358,0,7105,
0.972962226,0,7105,
0.741645104,0,7105,
0.844816287,0,7105,
0.793431694,0,7105,
1.114389168,0,7105,
1.044345118,0,7023,
0.381512311,0,7023,
0.417977559,0,7023,
0.051386755,0,7023,
0.402200229,0,7023,
0.421585425,0,7023,
0.490305819,0,7023,
1.29494231,0,12140,
