maar,dummy,FDI
1.021157811,1,3410
0.924423694,1,3410
0.204533815,1,3317
1.059529074,1,3317
10.31377159,1,3317
0.325221621,1,3317
4.174255536,1,4266
0.041123431,1,4266
0.341965425,1,4266
0.237579551,1,4266
0.339574855,1,4266
1.030083694,1,4401
0.992458537,1,4401
0.070390296,1,4401
0.32437586,1,4401
0.231593911,1,4401
0.887943153,1,4401
0.589014479,1,4401
0.755112429,1,4401
0.868963868,1,4401
0.578725868,1,4401
0.362512499,1,4401
0.439399444,1,4118
0.799132212,1,4118
1.280731672,1,4118
1.030841031,1,3578
0.845548938,1,3578
0.546334535,1,3578
0.857781655,1,3578
1.188976235,1,3578
0.752944373,1,3578
1.954344947,1,3578
1.086795349,1,3578
2.226701719,1,3578
1.31664995,1,3578
1.919215904,1,3578
1.586113848,1,3578
1.897808103,1,3578
0.111808286,0,3944
1.508909735,0,3944
1.484917755,0,3120
1.914584864,0,3120
-0.050683148,0,3120
2.69721719,0,3120
2.555989633,0,3120
2.197612978,0,3169
0.272177068,0,3169
1.14791798,0,3169
1.746491928,0,3169
0.949997424,0,3169
1.967068662,0,3169
1.153970054,0,3169
1.157052855,0,3169
1.344083433,0,3427
1.086660527,0,3259
1.198079559,0,3259
0.594344818,0,3259
0.72300646,0,4219
1.162685309,0,4219
1.6514322,0,4219
1.592116903,0,4219
1.727039141,0,4219
1.042541338,0,4552
0.484953959,0,4552
1.99289717,0,4552
0.788874748,0,4552
0.810924174,0,4512
1.087727443,0,4512
0.775871988,0,4512
0.920955862,0,4512
0.765694774,0,4512
1.071548088,0,4512
0.793145477,0,4512
